collection (KNOWN)	matrix name	UniProt (HUMAN if exists, MOUSE otherwise)	Entrez gene ID (automatic mapping from UniProt)
homer	GABPA_Jurkat-GABPa-ChIP-Seq	GABPA_HUMAN	2551
homer	GATA2_K562-GATA2-ChIP-Seq	GATA2_HUMAN	2624
homer	GATA3_iTreg-Gata3-ChIP-Seq(GSE20898)	GATA3_HUMAN	2625
homer	GATA1_K562-GATA1-ChIP-Seq	GATA1_HUMAN	2623
homer	GFI1B_HPC7-Gfi1b-ChIP-Seq	GFI1B_HUMAN	8328
homer	GLI3_GLI3-ChIP-Chip	GLI3_HUMAN	2737
homer	NR3C1_A549-GR-ChIP-Seq	GCR_HUMAN	2908
homer	NR3C1_RAW264.7-GRE-ChIP-Seq	GCR_HUMAN	2908
homer	HIF1A_MCF7-HIF1a-ChIP-Seq	HIF1A_HUMAN	3091
homer	HNF4A_HepG2-HNF4a-ChIP-Seq	HNF4A_HUMAN	3172
homer	ONECUT1_Liver-Hnf6-ChIP-Seq(ERP000394)	HNF6_HUMAN	3175
homer	HOXA2_mES-Hoxa2-ChIP-Seq	HXA2_HUMAN	3199
homer	HOXA9_HSC-Hoxa9-ChIP-Seq(GSE33509)	HXA9_HUMAN	3205
homer	HOXB4_ES-Hoxb4-ChIP-Seq(GSE34014)	HXB4_HUMAN	3214
homer	HOXC9_Ainv15-Hoxc9-ChIP-Seq	HXC9_HUMAN	3225
homer	HSF1_HepG2-HSF1-ChIP-Seq	HSF1_HUMAN	3297
homer	IRF4_GM12878-IRF4-ChIP-Seq	IRF4_HUMAN	3662
homer	"JUN_motifA;K562-cJun-ChIP-Seq"	JUN_HUMAN	3725
homer	"JUN_motifB;K562-cJun-ChIP-Seq"	JUN_HUMAN	3725
homer	JUND_K562-JunD-ChIP-Seq	JUND_HUMAN	3727
homer	KLF4_mES-Klf4-ChIP-Seq	KLF4_HUMAN	9314
homer	NR5A2_Pancreas-LRH1-ChIP-Seq(GSE34295)	NR5A2_HUMAN	2494
homer	NR1H2_BLRP(RAW)-LXRb-ChIP-Seq	NR1H2_HUMAN	7376
homer	MAFA_Islet-MafA-ChIP-Seq(GSE30298)	MAFA_HUMAN	389692
homer	MAX_K562-Max-ChIP-Seq	MAX_HUMAN	4149
homer	MEF2A_HL1-Mef2a.biotin-ChIP-Seq/	MEF2A_HUMAN	4205
homer	MYB_ERMYB-Myb-ChIPSeq(GSE22095)	MYB_HUMAN	4602
homer	MYOD1_Myotube-MyoD-ChIP-Seq	MYOD1_HUMAN	4654
homer	NANOG_mES-Nanog-ChIP-Seq	NANOG_HUMAN	79923
homer	NEUROD1_Islet-NeuroD1-ChIP-Seq(GSE30298)	NDF1_HUMAN	4760
homer	NFIC_LNCAP-NF1-ChIP-Seq	NFIC_HUMAN	4782
homer	"NFATC1_motifB;Jurkat-NFATC1-ChIP-Seq"	NFAC1_HUMAN	4772
homer	"NFATC1_motifA;Jurkat-NFATC1-ChIP-Seq"	NFAC1_HUMAN	4772
homer	NFE2_K562-NFE2-ChIP-Seq	NFE2_HUMAN	4778
homer	NKX2-5_HL1-Nkx2.5.biotin-ChIP-Seq	NKX25_HUMAN	1482
homer	MYCN_mES-nMyc-ChIP-Seq	MYCN_HUMAN	4613
homer	NR5A2_mES-Nr5a2-ChIP-Seq	NR5A2_HUMAN	2494
homer	NRF1_MCF7-NRF1-ChIP-Seq	NRF1_HUMAN	4899
homer	NR4A1_K562-NR4A1-ChIP-Seq(GSE31363)	NR4A1_HUMAN	3164
homer	POU2F2_Bcell-Oct2-ChIP-Seq	PO2F2_HUMAN	5452
homer	POU5F1_mES-Oct4-ChIP-Seq	PO5F1_HUMAN	5460
homer	OLIG2_Neuron-Olig2-ChIP-Seq(GSE30882)	OLIG2_HUMAN	10215
homer	NFKB1_p50-ChIP-Chip	NFKB1_HUMAN	4790
homer	TP53_p53-ChIP-Chip	P53_HUMAN	7157
homer	TP53_Saos-p53-ChIP-Seq	P53_HUMAN	7157
homer	TP63_Keratinocyte-p63-ChIP-Seq	P63_HUMAN	8626
homer	RELA_GM12787-p65-ChIP-Seq	TF65_HUMAN	5970
homer	"PAX3_Rh4-PAX3;FKHR-ChIP-Seq"	PAX3_HUMAN	5077
homer	"PAX5_motifA;GM12878-PAX5-ChIP-Seq"	PAX5_HUMAN	5079
homer	"PAX5_motifB;GM12878-PAX5-ChIP-Seq"	PAX5_HUMAN	5079
homer	PBX1_MCF7-PBX1-ChIP-Seq(GSE28007)	PBX1_HUMAN	5087
homer	PBX3_GM12878-PBX3-ChIP-Seq	PBX3_HUMAN	5090
homer	PDX1_Islet-Pdx1-ChIP-Seq	PDX1_HUMAN	3651
homer	PPARG_3T3L1-Pparg-ChIP-Seq	PPARG_HUMAN	5468
homer	PRDM14_H1-PRDM14-ChIP-Seq	PRD14_HUMAN	63978
homer	SPI1_Bcell-PU.1-ChIP-Seq	SPI1_HUMAN	6688
homer	SPI1_ThioMac-PU.1-ChIP-Seq	SPI1_HUMAN	6688
homer	RARG_ES-RARg-ChIP-Seq(GSE30538)	RARG_HUMAN	5916
homer	REST_Jurkat-NRSF-ChIP-Seq	REST_HUMAN	5978
homer	NR1D1_BLRP(RAW)-Reverba-ChIP-Seq	NR1D1_HUMAN	9572
homer	RFX1_NPC-Rfx1-ChIP-Seq	RFX1_HUMAN	5989
homer	RFX3_K562-RFX3-ChIP-Seq	RFX3_HUMAN	5991
homer	RUNX1_HPC7-Runx1-ChIP-Seq	RUNX1_HUMAN	861
homer	RUNX1_Jurkat-RUNX1-ChIP-Seq	RUNX1_HUMAN	861
homer	RUNX2_PCa-RUNX2-ChIP-Seq(GSE33889)	RUNX2_HUMAN	860
homer	RXRA,RXRB,RXRG_3T3L1-RXR-ChIP-Seq	RXRA_HUMAN,RXRB_HUMAN,RXRG_HUMAN	6256,6257,6258
homer	"TAL1_motifA;HPC7-Scl-ChIP-Seq"	TAL1_HUMAN	6886
homer	SOX2_mES-Sox2-ChIP-Seq	SOX2_HUMAN	6657
homer	SOX3_NPC-Sox3-ChIP-Seq(GSE33059)	SOX3_HUMAN	6658
homer	SOX6_Myotubes-Sox6-ChIP-Seq(GSE32627)	SOX6_HUMAN	55553
homer	SPDEF_VCaP-SPDEF-ChIP-Seq	SPDEF_HUMAN	25803
homer	SREBP1A_HepG2-Srebp1a-ChIP-Seq	SRBP1_HUMAN	6720
homer	SREBP2_HepG2-Srebp2-ChIP-Seq	SRBP2_HUMAN	6721
homer	SRF_PUER-Srf-ChIP-Seq	SRF_HUMAN	6722
homer	ZNF143_CUTLL-ZNF143-ChIP-Seq(GSE29600)	ZN143_HUMAN	7702
homer	STAT1_HelaS3-STAT1-ChIP-Seq	STAT1_HUMAN	6772
homer	STAT3_CD4-Stat3-ChIP-Seq	STAT3_HUMAN	6774
homer	STAT3_mES-Stat3-ChIP-Seq	STAT3_HUMAN	6774
homer	STAT4_CD4-Stat4-ChIP-Seq	STAT4_HUMAN	6775
homer	STAT5_mCD4+-Stat5a|b-ChIP-Seq	STA5A_HUMAN	6776
homer	STAT6_Macrophage-Stat6-ChIP-Seq	STAT6_HUMAN	6778
homer	STAT6_CD4-Stat6-ChIP-Seq	STAT6_HUMAN	6778
homer	TBX20_Heart-Tbx20-ChIP-Seq(GSE29636)	TBX20_HUMAN	57057
homer	TBX5_HL1-Tbx5.biotin-ChIP-Seq	TBX5_HUMAN	6910
homer	TCF12_GM12878-Tcf12-ChIP-Seq	HTF4_HUMAN	6938
homer	TCF3_mES-Tcf3-ChIP-Seq	TFE2_HUMAN	6929
homer	TCF4_Hct116-Tcf4-ChIP-Seq	ITF2_HUMAN	6925
homer	TCF7L2_K562-TCF7L2-ChIP-Seq(GSE29196)	TF7L2_HUMAN	6934
homer	TFCP2L1_mES-Tfcp2l1-ChIP-Seq	TF2L1_HUMAN	29842
homer	NR2C2_Hela-TR4-ChIP-Seq	NR2C2_HUMAN	7182
homer	USF1_GM12878-Usf1-ChIP-Seq	USF1_HUMAN	7391
homer	VDR_GM10855-VDR+vitD-ChIP-Seq	VDR_HUMAN	7421
homer	ZBTB33_GM12878-ZBTB33-ChIP-Seq	KAISO_HUMAN	10009
homer	ZFX_mES-Zfx-ChIP-Seq	ZFX_HUMAN	7543
homer	ZNF263_K562-Znf263-ChIP-Seq	ZN263_HUMAN	10127
homer	ZNF711_SH-SY5Y-ZNF711-ChIP-Seq	ZN711_HUMAN	7552
jaspar	MA0004.1	ARNT_HUMAN	405
jaspar	MA0006.1	AHR_HUMAN,ARNT_HUMAN	196,405
jaspar	MA0009.1	BRAC_HUMAN	6862
jaspar	MA0017.1	COT1_HUMAN	7025
jaspar	MA0019.1	DDIT3_HUMAN,CEBPA_HUMAN	1649,1050
jaspar	MA0025.1	NFIL3_HUMAN	4783
jaspar	MA0027.1	HME1_HUMAN	2019
jaspar	MA0028.1	ELK1_HUMAN	2002
jaspar	MA0029.1	A4QPC8_MOUSE	-
jaspar	MA0030.1	FOXF2_HUMAN	2295
jaspar	MA0031.1	FOXD1_HUMAN	2297
jaspar	MA0032.1	FOXC1_HUMAN	2296
jaspar	MA0033.1	FOXL1_HUMAN	2300
jaspar	MA0038.1	GFI1_HUMAN	2672
jaspar	MA0040.1	FOXQ1_HUMAN	94234
jaspar	MA0041.1	FOXD3_HUMAN	27022
jaspar	MA0042.1	FOXI1_HUMAN	2299
jaspar	MA0043.1	HLF_HUMAN	3131
jaspar	MA0046.1	HNF1A_HUMAN	6927
jaspar	MA0048.1	HEN1_HUMAN	4807
jaspar	MA0051.1	IRF2_HUMAN	3660
jaspar	MA0056.1	MZF1_HUMAN	7593
jaspar	MA0057.1	MZF1_HUMAN	7593
jaspar	MA0059.1	MAX_HUMAN,MYC_HUMAN	4149,4609
jaspar	MA0063.1	NKX25_HUMAN	1482
jaspar	MA0066.1	PPARG_HUMAN	5468
jaspar	MA0067.1	PAX2_HUMAN	5076
jaspar	MA0068.1	PAX4_HUMAN	5078
jaspar	MA0069.1	PAX6_HUMAN	5080
jaspar	MA0070.1	PBX1_HUMAN	5087
jaspar	MA0071.1	RORA_HUMAN	6095
jaspar	MA0072.1	RORA_HUMAN	6095
jaspar	MA0073.1	RREB1_HUMAN	6239
jaspar	MA0074.1	VDR_HUMAN,RXRA_HUMAN	7421,6256
jaspar	MA0075.1	PRRX2_HUMAN	51450
jaspar	MA0077.1	SOX9_HUMAN	6662
jaspar	MA0078.1	SOX17_HUMAN	64321
jaspar	MA0081.1	SPIB_HUMAN	6689
jaspar	MA0084.1	SRY_HUMAN	6736
jaspar	MA0087.1	SOX5_HUMAN	6660
jaspar	MA0088.1	ZN143_HUMAN	7702
jaspar	MA0089.1	MAFG_HUMAN,NF2L1_HUMAN	4097,4779
jaspar	MA0090.1	TEAD1_HUMAN	7003
jaspar	MA0091.1	TFE2_HUMAN,TAL1_HUMAN	6929,6886
jaspar	MA0092.1	TFE2_HUMAN,HAND1_HUMAN	6929,9421
jaspar	MA0101.1	REL_HUMAN	5966
jaspar	MA0107.1	TF65_HUMAN	5970
jaspar	MA0108.2	TBP_HUMAN	6908
jaspar	MA0109.1	HLTF_RABIT	100009232
jaspar	MA0111.1	SPZ1_HUMAN	84654
jaspar	MA0115.1	RXRA_HUMAN,NR1H2_HUMAN	6256,7376
jaspar	MA0116.1	ZN423_HUMAN	23090
jaspar	MA0117.1	MAFB_HUMAN	9935
jaspar	MA0119.1	NFIC_HUMAN,TLX1_HUMAN	4782,3195
jaspar	MA0122.1	NKX32_HUMAN	579
jaspar	MA0124.1	NKX31_HUMAN	4824
jaspar	MA0125.1	NOBOX_HUMAN	135935
jaspar	MA0130.1	Z354C_HUMAN	30832
jaspar	MA0131.1	HINFP_HUMAN	25988
jaspar	MA0132.1	PDX1_HUMAN	3651
jaspar	MA0133.1	BRCA1_HUMAN	672
jaspar	MA0135.1	LHX3_HUMAN	8022
jaspar	MA0136.1	ELF5_HUMAN	2001
jaspar	MA0139.1	CTCF_HUMAN	10664
jaspar	MA0142.1	PO5F1_HUMAN,SOX2_HUMAN	5460,6657
jaspar	MA0149.1	-	-
jaspar	MA0062.2	GABPA_HUMAN	2551
jaspar	MA0039.2	KLF4_HUMAN	9314
jaspar	MA0138.2	REST_HUMAN	5978
jaspar	MA0002.2	RUNX1_HUMAN	861
jaspar	MA0047.2	FOXA2_HUMAN	3170
jaspar	MA0112.2	ESR1_HUMAN	2099
jaspar	MA0065.2	RXRA_HUMAN,PPARG_HUMAN	6256,5468
jaspar	MA0151.1	ARI3A_HUMAN	1820
jaspar	MA0152.1	NFAC2_HUMAN	4773
jaspar	MA0153.1	HNF1B_HUMAN	6928
jaspar	MA0155.1	INSM1_HUMAN	3642
jaspar	MA0156.1	FEV_HUMAN	54738
jaspar	MA0157.1	FOXO3_HUMAN	2309
jaspar	MA0158.1	HXA5_HUMAN	3202
jaspar	MA0159.1	RARA_HUMAN,RXRA_HUMAN	5914,6256
jaspar	MA0160.1	NR4A2_HUMAN	4929
jaspar	MA0161.1	NFIC_HUMAN	4782
jaspar	MA0163.1	PLAG1_HUMAN	5324
jaspar	MA0164.1	NR2E3_HUMAN	10002
jaspar	MA0018.2	CREB1_HUMAN	1385
jaspar	MA0099.2	FOS_HUMAN,JUN_HUMAN	2353,3725
jaspar	MA0259.1	HIF1A_HUMAN,ARNT_HUMAN	3091,405
jaspar	MA0442.1	SOX10_HUMAN	6663
jaspar	MA0145.2	TF2L1_HUMAN	29842
jaspar	MA0146.2	ZFX_HUMAN	7543
jaspar	MA0141.2	ERR2_HUMAN	2103
jaspar	MA0519.1	STA5A_HUMAN,STA5B_HUMAN	6776,6777
jaspar	MA0518.1	STAT4_HUMAN	6775
jaspar	MA0517.1	STAT2_HUMAN,STAT1_HUMAN	6773,6772
jaspar	MA0516.1	SP2_HUMAN	6668
jaspar	MA0515.1	SOX6_HUMAN	55553
jaspar	MA0514.1	SOX3_HUMAN	6658
jaspar	MA0513.1	SMAD2_HUMAN,SMAD3_HUMAN,SMAD4_HUMAN	4087,4088,4089
jaspar	MA0512.1	RXRA_HUMAN	6256
jaspar	MA0511.1	RUNX2_HUMAN	860
jaspar	MA0510.1	RFX5_HUMAN	5993
jaspar	MA0509.1	RFX1_HUMAN	5989
jaspar	MA0508.1	PRDM1_HUMAN	639
jaspar	MA0507.1	PO2F2_HUMAN	5452
jaspar	MA0506.1	NRF1_HUMAN	4899
jaspar	MA0505.1	NR5A2_HUMAN	2494
jaspar	MA0504.1	NR2C2_HUMAN	7182
jaspar	MA0503.1	NKX25_HUMAN	1482
jaspar	MA0502.1	NFYB_HUMAN	4801
jaspar	MA0501.1	NFE2_HUMAN,MAF_HUMAN	4778,4094
jaspar	MA0500.1	MYOG_HUMAN	4656
jaspar	MA0499.1	MYOD1_HUMAN	4654
jaspar	MA0498.1	MEIS1_HUMAN	4211
jaspar	MA0497.1	MEF2C_HUMAN	4208
jaspar	MA0496.1	MAFK_HUMAN	7975
jaspar	MA0495.1	MAFF_HUMAN	23764
jaspar	MA0494.1	NR1H3_HUMAN,RXRA_HUMAN	10062,6256
jaspar	MA0493.1	KLF1_HUMAN	10661
jaspar	MA0492.1	JUND_HUMAN	3727
jaspar	MA0491.1	JUND_HUMAN	3727
jaspar	MA0490.1	JUNB_HUMAN	3726
jaspar	MA0489.1	JUN_HUMAN	3725
jaspar	MA0488.1	JUN_HUMAN	3725
jaspar	MA0486.1	HSF1_HUMAN	3297
jaspar	MA0485.1	HXC9_HUMAN	3225
jaspar	MA0484.1	HNF4G_HUMAN	3174
jaspar	MA0483.1	GFI1B_HUMAN	8328
jaspar	MA0482.1	GATA4_HUMAN	2626
jaspar	MA0481.1	FOXP1_HUMAN	27086
jaspar	MA0480.1	FOXO1_HUMAN	2308
jaspar	MA0479.1	FOXH1_HUMAN	8928
jaspar	MA0478.1	FOSL2_HUMAN	2355
jaspar	MA0477.1	FOSL1_HUMAN	8061
jaspar	MA0476.1	FOS_HUMAN	2353
jaspar	MA0475.1	FLI1_HUMAN	2313
jaspar	MA0474.1	ERG_HUMAN	2078
jaspar	MA0473.1	ELF1_HUMAN	1997
jaspar	MA0472.1	EGR2_HUMAN	1959
jaspar	MA0471.1	E2F6_HUMAN	1876
jaspar	MA0470.1	E2F4_HUMAN	1874
jaspar	MA0469.1	E2F3_HUMAN	1871
jaspar	MA0468.1	DUX4_HUMAN	100653046
jaspar	MA0467.1	CRX_HUMAN	1406
jaspar	MA0466.1	CEBPB_HUMAN	1051
jaspar	MA0465.1	CDX2_HUMAN	1045
jaspar	MA0464.1	BHE40_HUMAN	8553
jaspar	MA0463.1	BCL6_HUMAN	604
jaspar	MA0462.1	BATF_HUMAN,JUN_HUMAN	10538,3725
jaspar	MA0461.1	ATOH1_HUMAN	474
jaspar	MA0520.1	STAT6_HUMAN	6778
jaspar	MA0521.1	HTF4_HUMAN	6938
jaspar	MA0522.1	TF7L1_HUMAN	83439
jaspar	MA0523.1	TF7L2_HUMAN	6934
jaspar	MA0524.1	AP2C_HUMAN	7022
jaspar	MA0525.1	P63_HUMAN	8626
jaspar	MA0526.1	USF2_HUMAN	7392
jaspar	MA0527.1	KAISO_HUMAN	10009
jaspar	MA0528.1	ZN263_HUMAN	10127
jaspar	MA0007.2	ANDR_HUMAN	367
jaspar	MA0102.3	CEBPA_HUMAN	1050
jaspar	MA0024.2	E2F1_HUMAN	1869
jaspar	MA0154.2	COE1_HUMAN	1879
jaspar	MA0162.2	EGR1_HUMAN	1958
jaspar	MA0076.2	ELK4_HUMAN	2005
jaspar	MA0258.2	ESR2_HUMAN	2100
jaspar	MA0098.2	ETS1_HUMAN	2113
jaspar	MA0148.3	FOXA1_HUMAN	3169
jaspar	MA0035.3	GATA1_HUMAN	2623
jaspar	MA0036.2	GATA2_HUMAN	2624
jaspar	MA0037.2	GATA3_HUMAN	2625
jaspar	MA0114.2	HNF4A_HUMAN	3172
jaspar	MA0050.2	IRF1_HUMAN	3659
jaspar	MA0058.2	MAX_HUMAN	4149
jaspar	MA0052.2	MEF2A_HUMAN	4205
jaspar	MA0100.2	MYB_HUMAN	4602
jaspar	MA0147.2	MYC_HUMAN	4609
jaspar	MA0104.3	MYCN_HUMAN	4613
jaspar	MA0150.2	NF2L2_HUMAN	4780
jaspar	MA0105.3	NFKB1_HUMAN	4790
jaspar	MA0060.2	NFYA_HUMAN	4800
jaspar	MA0014.2	PAX5_HUMAN	5079
jaspar	MA0080.3	SPI1_HUMAN	6688
jaspar	MA0143.3	SOX2_HUMAN	6657
jaspar	MA0079.3	SP1_HUMAN	6667
jaspar	MA0083.2	SRF_HUMAN	6722
jaspar	MA0137.3	STAT1_HUMAN	6772
jaspar	MA0144.2	STAT3_HUMAN	6774
jaspar	MA0140.2	TAL1_HUMAN,GATA1_HUMAN	6886,2623
jaspar	MA0003.2	AP2A_HUMAN	7020
jaspar	MA0106.2	P53_HUMAN	7157
jaspar	MA0093.2	USF1_HUMAN	7391
jaspar	MA0095.2	TYY1_HUMAN	7528
jaspar	MA0103.2	ZEB1_HUMAN	6935
jaspar	MA0591.1	BACH1_HUMAN,MAFK_HUMAN	571,7975
jaspar	MA0592.1	ERR1_HUMAN	2101
jaspar	MA0593.1	FOXP2_HUMAN	93986
jaspar	MA0594.1	HXA9_HUMAN	3205
jaspar	MA0595.1	SRBP1_HUMAN	6720
jaspar	MA0596.1	SRBP2_HUMAN	6721
jaspar	MA0597.1	THAP1_HUMAN	55145
jaspar	MA0598.1	EHF_HUMAN	26298
jaspar	MA0599.1	KLF5_HUMAN	688
jaspar	MA0600.1	RFX2_HUMAN	5990
jaspar	MA0113.2	GCR_HUMAN	2908
selex	BCL6B	BCL6B_HUMAN	255877
selex	CTCF	CTCF_HUMAN	10664
selex	EGR1_1	EGR1_HUMAN	1958
selex	EGR1_2	EGR1_HUMAN	1958
selex	EGR2_1	EGR2_HUMAN	1959
selex	EGR2_2	EGR2_HUMAN	1959
selex	EGR3_1	EGR3_HUMAN	1960
selex	EGR4_1	EGR4_HUMAN	1961
selex	EGR3_2	EGR3_HUMAN	1960
selex	GLI2_1	GLI2_HUMAN	2736
selex	GLI2_2	GLI2_HUMAN	2736
selex	GLIS1	GLIS1_HUMAN	148979
selex	GLIS2	GLIS2_HUMAN	84662
selex	GLIS3	GLIS3_HUMAN	169792
selex	HIC2	HIC2_HUMAN	23119
selex	HINFP1_1	HINFP_HUMAN	25988
selex	HINFP1_2	HINFP_HUMAN	25988
selex	HINFP1_3	HINFP_HUMAN	25988
selex	HIC1_1	HIC1_HUMAN	3090
selex	HIC1_2	HIC1_HUMAN	3090
selex	KLF13	KLF13_HUMAN	51621
selex	KLF14	KLF14_HUMAN	-
selex	KLF16	KLF16_HUMAN	83855
selex	Klf12	KLF12_HUMAN	11278
selex	PRDM1	PRDM1_HUMAN	639
selex	SCRT1	SCRT1_HUMAN	83482
selex	SCRT2	SCRT2_HUMAN	85508
selex	SNAI2	SNAI2_HUMAN	6591
selex	SP1	SP1_HUMAN	6667
selex	SP3	SP3_HUMAN	6670
selex	SP4	SP4_HUMAN	6671
selex	SP8	SP8_HUMAN	221833
selex	YY1	TYY1_HUMAN	7528
selex	YY2_1	TYY2_HUMAN	404281
selex	YY2_2	TYY2_HUMAN	404281
selex	ZBED1	ZBED1_HUMAN	9189
selex	ZBTB7A	ZBT7A_HUMAN	51341
selex	ZBTB7B	ZBT7B_HUMAN	51043
selex	ZBTB7C	ZBT7C_HUMAN	201501
selex	ZIC1	ZIC1_HUMAN	7545
selex	ZIC3_1	ZIC3_HUMAN	7547
selex	ZIC4	ZIC4_HUMAN	84107
selex	ZNF143	ZN143_HUMAN	7702
selex	ZNF238_1	ZBT18_HUMAN	10472
selex	ZNF238_2	ZBT18_HUMAN	10472
selex	ZNF306	ZKSC3_HUMAN	80317
selex	ZNF410	ZN410_HUMAN	57862
selex	ZNF524_1	ZN524_HUMAN	147807
selex	ZNF524_2	ZN524_HUMAN	147807
selex	ZNF740_1	ZN740_HUMAN	283337
selex	ZNF740_2	ZN740_HUMAN	283337
selex	ZNF75A	ZN75A_HUMAN	7627
selex	ZNF784	ZN784_HUMAN	147808
selex	ZSCAN4	ZSCA4_HUMAN	201516
selex	Zfp652	ZN652_HUMAN	22834
selex	Zfp740	ZN740_HUMAN	283337
selex	ZIC3_2	ZIC3_HUMAN	7547
selex	CENPB	CENPB_HUMAN	1059
selex	GRHL1_1	GRHL1_HUMAN	29841
selex	GRHL1_2	GRHL1_HUMAN	29841
selex	GRHL1_3	GRHL1_HUMAN	29841
selex	TFCP2_1	TFCP2_HUMAN	7024
selex	TFCP2_2	TFCP2_HUMAN	7024
selex	CUX1_1	CUX1_HUMAN	1523
selex	CUX1_2	CUX1_HUMAN	1523
selex	CUX1_3	CUX1_HUMAN	1523
selex	CUX2_1	CUX2_HUMAN	23316
selex	CUX2_2	CUX2_HUMAN	23316
selex	ONECUT1_1	HNF6_HUMAN	3175
selex	ONECUT1_2	HNF6_HUMAN	3175
selex	ONECUT2	ONEC2_HUMAN	9480
selex	ONECUT3	ONEC3_HUMAN	390874
selex	E2F2_1	E2F2_HUMAN	1870
selex	E2F2_2	E2F2_HUMAN	1870
selex	E2F3_1	E2F3_HUMAN	1871
selex	E2F3_2	E2F3_HUMAN	1871
selex	E2F3_3	E2F3_HUMAN	1871
selex	E2F7	E2F7_HUMAN	144455
selex	EBF1	COE1_HUMAN	1879
selex	EHF	EHF_HUMAN	26298
selex	ELF1_1	ELF1_HUMAN	1997
selex	ELF1_2	ELF1_HUMAN	1997
selex	ELF3_1	ELF3_HUMAN	1999
selex	ELF3_2	ELF3_HUMAN	1999
selex	ELF4	ELF4_HUMAN	2000
selex	ELF5_1	ELF5_HUMAN	2001
selex	ELF5_2	ELF5_HUMAN	2001
selex	ELK1_1	ELK1_HUMAN	2002
selex	ELK1_2	ELK1_HUMAN	2002
selex	ELK1_3	ELK1_HUMAN	2002
selex	ELK3_1	ELK3_HUMAN	2004
selex	ELK4	ELK4_HUMAN	2005
selex	ERF	ERF_HUMAN	2077
selex	ERG_1	ERG_HUMAN	2078
selex	ERG_2	ERG_HUMAN	2078
selex	ERG_3	ERG_HUMAN	2078
selex	ERG_4	ERG_HUMAN	2078
selex	ETS1_1	ETS1_HUMAN	2113
selex	ETS1_2	ETS1_HUMAN	2113
selex	ETS1_3	ETS1_HUMAN	2113
selex	ETS1_4	ETS1_HUMAN	2113
selex	ETV1	ETV1_HUMAN	2115
selex	ETV2	ETV2_HUMAN	2116
selex	ETV3	ETV3_HUMAN	2117
selex	ETV4	ETV4_HUMAN	2118
selex	ETV5	ETV5_HUMAN	2119
selex	ETV6_1	ETV6_HUMAN	2120
selex	ETV6_2	ETV6_HUMAN	2120
selex	ELF5_3	ELF5_HUMAN	2001
selex	ELK3_2	ELK3_HUMAN	2004
selex	FEV	FEV_HUMAN	54738
selex	FLI1_1	FLI1_HUMAN	2313
selex	FLI1_2	FLI1_HUMAN	2313
selex	FLI1_3	FLI1_HUMAN	2313
selex	FLI1_4	FLI1_HUMAN	2313
selex	GABPA	GABPA_HUMAN	2551
selex	SPDEF_1	SPDEF_HUMAN	25803
selex	SPDEF_2	SPDEF_HUMAN	25803
selex	SPDEF_3	SPDEF_HUMAN	25803
selex	SPDEF_4	SPDEF_HUMAN	25803
selex	SPDEF_5	SPDEF_HUMAN	25803
selex	SPDEF_6	SPDEF_HUMAN	25803
selex	SPI1	SPI1_HUMAN	6688
selex	SPIB	SPIB_HUMAN	6689
selex	SPIC_1	SPIC_HUMAN	121599
selex	SPIC_2	SPIC_HUMAN	121599
selex	GATA3_1	GATA3_HUMAN	2625
selex	GATA3_2	GATA3_HUMAN	2625
selex	GATA4	GATA4_HUMAN	2626
selex	GATA5	GATA5_HUMAN	140628
selex	GCM1_1	GCM1_HUMAN	8521
selex	GCM1_2	GCM1_HUMAN	8521
selex	GCM1_3	GCM1_HUMAN	8521
selex	GCM2	GCM2_HUMAN	9247
selex	LEF1	LEF1_HUMAN	51176
selex	SOX9_1	SOX9_HUMAN	6662
selex	TCF7L1	TF7L1_HUMAN	83439
selex	Tcf7	TCF7_HUMAN	6932
selex	HOMEZ	HOMEZ_HUMAN	57594
selex	HSF1_1	HSF1_HUMAN	3297
selex	HSF1_2	HSF1_HUMAN	3297
selex	HSF2	HSF2_HUMAN	3298
selex	HSF4	HSF4_HUMAN	3299
selex	HSFY2_1	HSFY1_HUMAN	86614
selex	HSFY2_2	HSFY1_HUMAN	86614
selex	HSFY2_3	HSFY1_HUMAN	86614
selex	IRF3	IRF3_HUMAN	3661
selex	IRF4	IRF4_HUMAN	3662
selex	IRF5_1	IRF5_HUMAN	3663
selex	IRF5_2	IRF5_HUMAN	3663
selex	IRF7_1	IRF7_HUMAN	3665
selex	IRF7_2	IRF7_HUMAN	3665
selex	IRF8_1	IRF8_HUMAN	3394
selex	IRF8_2	IRF8_HUMAN	3394
selex	IRF9	IRF9_HUMAN	10379
selex	MEF2A	MEF2A_HUMAN	4205
selex	MEF2B	MEF2B_HUMAN	4207
selex	MEF2D	MEF2D_HUMAN	4209
selex	SRF_1	SRF_HUMAN	6722
selex	SRF_2	SRF_HUMAN	6722
selex	SMAD3	SMAD3_HUMAN	4088
selex	MEIS1	MEIS1_HUMAN	4211
selex	MEIS2_1	MEIS2_HUMAN	4212
selex	MEIS2_2	MEIS2_HUMAN	4212
selex	MEIS3_1	MEIS3_HUMAN	56917
selex	MEIS3_2	MEIS3_HUMAN	56917
selex	MEIS2_3	MEIS2_HUMAN	4212
selex	MEIS2_4	MEIS2_HUMAN	4212
selex	MEIS3_3	MEIS3_HUMAN	56917
selex	MEIS3_4	MEIS3_HUMAN	56917
selex	PKNOX1	PKNX1_HUMAN	5316
selex	PKNOX2_1	PKNX2_HUMAN	63876
